dist_bin,count,linear_mae,engine_mae
0-3mi,718334,1.119298617456175,1.110355629136307
3-5mi,101290,1.6386037916900478,1.6023497419949324
5-10mi,72113,2.1288213657579744,2.1013339800036057
10-15mi,25307,4.0556195970547515,4.050236184981758
15-20mi,28236,6.428133206095041,7.647401381215469
20mi+,7710,19.17221060613218,22.344061162991782
