elasticity,multiplier,revenue_pct_change,rides_pct_change
-0.2,1.0,0.0,0.0
-0.2,1.05,1.4563023584340362,-0.36868414137569694
-0.2,1.1,2.8757363027305027,-0.737368282751405
-0.2,1.15,4.2583018328894,-1.106052424127113
-0.2,1.2,5.6039989489107045,-1.47473656550281
-0.2,1.25,6.91282765079444,-1.843420706878518
-0.2,1.3,8.184787938540605,-2.212104848254226
-0.2,1.35,9.419879812149222,-2.580788989629923
-0.2,1.4,10.61810327162027,-2.94947313100562
-0.2,1.45,11.779458316953706,-3.318157272381328
-0.2,1.5,12.903944948149615,-3.686841413757036
-0.2,1.55,13.991563165207953,-4.055525555132733
-0.2,1.6,15.04231296812868,-4.424209696508441
-0.2,1.65,16.05619435691188,-4.792893837884149
-0.2,1.7,17.033207331557488,-5.161577979259846
-0.2,1.75,17.973351892065526,-5.530262120635543
-0.2,1.8,18.876628038436017,-5.898946262011262
-0.2,1.85,19.743035770668914,-6.267630403386959
-0.2,1.9,20.572575088764246,-6.636314544762656
-0.2,1.95,21.365245992722002,-7.004998686138364
-0.2,2.0,22.121048482542193,-7.373682827514072
-0.3,1.0,0.0,0.0
-0.3,1.05,1.2627431842118009,-0.5530262120635565
-0.3,1.1,2.470183747217236,-1.106052424127113
-0.3,1.15,3.6223216890163057,-1.6590786361906584
-0.3,1.2,4.71915700960901,-2.212104848254226
-0.3,1.25,5.76068970899537,-2.7651310603177714
-0.3,1.3,6.746919787175365,-3.318157272381328
-0.3,1.35,7.677847244149039,-3.8711834844448845
-0.3,1.4,8.553472079916325,-4.424209696508441
-0.3,1.45,9.373794294477245,-4.9772359085719975
-0.3,1.5,10.138813887831844,-5.530262120635543
-0.3,1.55,10.848530859980077,-6.0832883326991105
-0.3,1.6,11.502945210921943,-6.636314544762656
-0.3,1.65,12.102056940657446,-7.1893407568262235
-0.3,1.7,12.645866049186626,-7.742366968889769
-0.3,1.75,13.134372536509442,-8.295393180953326
-0.3,1.8,13.567576402625892,-8.848419393016883
-0.3,1.85,13.945477647535998,-9.401445605080438
-0.3,1.9,14.268076271239739,-9.954471817143995
-0.3,1.95,14.535372273737114,-10.50749802920754
-0.3,2.0,14.747365655028123,-11.060524241271107
-0.4,1.0,0.0,0.0
-0.4,1.05,1.0691840099895433,-0.737368282751405
-0.4,1.1,2.0646311917039473,-1.47473656550281
-0.4,1.15,2.986341545143212,-2.212104848254226
-0.4,1.2,3.834315070307337,-2.94947313100562
-0.4,1.25,4.608551767196278,-3.686841413757036
-0.4,1.3,5.309051635810147,-4.424209696508441
-0.4,1.35,5.935814676148832,-5.161577979259846
-0.4,1.4,6.488840888212377,-5.898946262011262
-0.4,1.45,6.968130272000783,-6.636314544762656
-0.4,1.5,7.373682827514072,-7.373682827514072
-0.4,1.55,7.705498554752199,-8.111051110265466
-0.4,1.6,7.963577453715187,-8.848419393016883
-0.4,1.65,8.147919524403058,-9.585787675768287
-0.4,1.7,8.258524766815768,-10.323155958519692
-0.4,1.75,8.295393180953315,-11.060524241271107
-0.4,1.8,8.258524766815768,-11.797892524022501
-0.4,1.85,8.147919524403058,-12.535260806773918
-0.4,1.9,7.963577453715187,-13.272629089525322
-0.4,1.95,7.705498554752199,-14.009997372276729
-0.4,2.0,7.37368282751405,-14.747365655028133
-0.6,1.0,0.0,0.0
-0.6,1.05,0.6820656615450504,-1.106052424127113
-0.6,1.1,1.2535260806773918,-2.212104848254226
-0.6,1.15,1.714381257397024,-3.318157272381328
-0.6,1.2,2.0646311917039473,-4.424209696508441
-0.6,1.25,2.304275883598139,-5.530262120635543
-0.6,1.3,2.433315333079644,-6.636314544762656
-0.6,1.35,2.45174954014844,-7.742366968889769
-0.6,1.4,2.359578504804505,-8.848419393016883
-0.6,1.45,2.1568022270478604,-9.954471817143995
-0.6,1.5,1.843420706878529,-11.060524241271107
-0.6,1.55,1.4194339442964665,-12.16657666539821
-0.6,1.6,0.8848419393016949,-13.272629089525322
-0.6,1.65,0.2396446918942141,-14.378681513652424
-0.6,1.7,-0.5161577979259979,-15.484733937779538
-0.6,1.75,-1.3825655301588968,-16.590786361906652
-0.6,1.8,-2.3595785048044937,-17.696838786033766
-0.6,1.85,-3.447196721862833,-18.802891210160876
-0.6,1.9,-4.64542018133387,-19.90894363428798
-0.6,1.95,-5.954248883217639,-21.014996058415093
-0.6,2.0,-7.373682827514072,-22.121048482542204
-0.8,1.0,0.0,0.0
-0.8,1.05,0.29494731310055755,-1.47473656550281
-0.8,1.1,0.44242096965085853,-2.94947313100562
-0.8,1.15,0.44242096965085853,-4.424209696508441
-0.8,1.2,0.29494731310055755,-5.898946262011262
-0.8,1.25,0.0,-7.373682827514072
-0.8,1.3,-0.4424209696508363,-8.848419393016883
-0.8,1.35,-1.0323155958519625,-10.323155958519692
-0.8,1.4,-1.7696838786033675,-11.797892524022501
-0.8,1.45,-2.6545258179050846,-13.272629089525322
