term,coef,hc3_se,ci_low,ci_high
const,3.3693418371843413,0.04241640208951737,3.286207216735118,3.4524764576335647
trip_distance,3.2264536946858846,0.01748887520437464,3.192176129155195,3.2607312602165743
duration_minutes,0.4511099049348795,0.005136021941949734,0.44104348690485057,0.46117632296490846
time_peak,1.4433386327973996,0.030178772075099138,1.3841893264325622,1.502487939162237
time_overnight,0.19437253477647395,0.032619239293260216,0.13044000055859017,0.25830506899435773
