model,n_features,cv_mae
ols,1,2.3167238950149827
ols,2,0.7364367124947423
ols,3,0.7406735067708362
ols,4,0.7408810593322724
ols,5,0.7408810593322736
ols,6,0.749128028120183
lgbm,1,2.6494461678001926
lgbm,2,1.1259280471364501
lgbm,3,1.1493111150754172
lgbm,4,1.1621184374515883
lgbm,5,1.1600023163819235
lgbm,6,1.1629427772216516
xgb,1,2.429055898377736
xgb,2,0.8923867689226347
xgb,3,0.899513072522082
xgb,4,0.8647993146582634
xgb,5,0.8666669467440992
xgb,6,0.867853942463531
