model,feature,permutation_importance,builtin_importance
ols,trip_distance,0.9781092344840339,2.599990979187548
ols,duration_minutes,0.2411007614820691,0.5144432410581087
ols,pickup_hour,-7.787069773592669e-05,-0.021475182265592856
lgbm,trip_distance,0.8855522990118809,356.0
lgbm,duration_minutes,0.3300464777523648,455.0
lgbm,pickup_hour,-0.00032057869036836715,112.0
xgb,trip_distance,0.9938305710092046,0.8025317788124084
xgb,duration_minutes,0.3065567681370515,0.1908332109451294
xgb,pickup_hour,0.002812623115436641,0.006635044235736132
