feature,n,missing,confidence,method,mean,std,se_mean,ci_low,ci_high,warning
pickup_location_id,988077,0,0.95,normal_approximation,165.85113305946803,63.235221074925526,0.06361560271300759,165.72644876929573,165.97581734964032,
dropoff_location_id,988077,0,0.95,normal_approximation,164.95354916671474,69.17384790687316,0.06958995243109202,164.81715536626393,165.08994296716554,
trip_distance,988077,0,0.95,normal_approximation,3.3023349192421234,4.35146375209403,0.004377639305558372,3.293754903865922,3.310914934618325,
trip_duration_minutes,988077,0,0.95,normal_approximation,15.506960169433489,12.525841707500657,0.01260118896028262,15.48226229290895,15.531658045958027,
speed_mph,988077,0,0.95,normal_approximation,11.2532594984249,6.5478646567344425,0.0065872523182580285,11.240348721124036,11.266170275725763,
