,coef,ci_low,ci_high,p_value
const,18.596953982330692,18.588338187020533,18.605569777640852,0.0
trip_distance,13.27100164578841,13.256804876716316,13.285198414860503,0.0
trip_duration_minutes,3.543245637090055,3.5290488680179832,3.557442406162127,0.0
