feature,n,confidence,method,r,p_value,ci_low,ci_high,warning
pickup_location_id,988077,0.95,pearson_fisher_z,-0.13640463858577861,0.0,-0.13833918565338876,-0.13446905062046605,
dropoff_location_id,988077,0.95,pearson_fisher_z,-0.09987147161924984,0.0,-0.10182317467699618,-0.09791899974356053,
trip_distance,988077,0.95,pearson_fisher_z,0.9571043173931462,0.0,0.9569384730301755,0.95726953698066,
trip_duration_minutes,988077,0.95,pearson_fisher_z,0.8383384440848332,0.0,0.8377514908534694,0.8389234600541364,
speed_mph,988077,0.95,pearson_fisher_z,0.6291876152223659,0.0,0.6279949535994966,0.6303773212718629,
