airport,n,mean_residual,median_residual,pct_hidden_premium_20plus,pct_flat_rate_discount,fare_distance_corr
JFK,46673,-1.6319335487164743,-1.0803857587683439,2.4018168962783624,26.383562230840102,0.8910520950964708
LaGuardia,32207,0.5648375141310007,-0.3096327403543313,1.1239792591672617,6.647623187505822,0.9170726041915302
Newark,47946,-0.05320866826041899,-0.35017170901939654,0.10636966587410837,1.078296416802236,0.9353412487187595
