subpop,count,pct,mean_residual,median_actual
No Toll / Base Meter,835179,84.52569992014793,-0.3371509372930601,11.4
Minor Surcharge (Night/Peak),70320,7.116854253261638,2.7921034498516035,21.9
Other,44576,4.511389294559027,4.8202157250137665,28.5
JFK/LGA Flat Rate (Discounted),17267,1.7475358701801578,-10.969830604086887,70.0
Minor Bridge/Tunnel Toll (~$6.55),15817,1.6007861735472033,6.349457599844771,31.7
Major Bridge/Tunnel Toll (~$12-$17),2751,0.27841959685328166,13.620680891772913,55.5
Unmodeled Outlier,2167,0.21931489145076752,-36.04479328282882,55.5
