,Raw Meter ($/unit),Total Amount ($/unit),Hidden Fee Premium
const,4.139034063063756,4.139034063063756,0.0
trip_distance,3.0497787415560027,3.0497787415560027,0.0
trip_duration_minutes,0.2828748534294776,0.2828748534294776,0.0
