name,n,mask,target,features,rsquared,kurtosis,jb_stat,bp_stat
baseline 15,42806,none,raw,dist + dur,0.9900352429931413,137.07802161763692,32071901.706639834,1941.904910304498
previous 27,42806,none,capped,dist + dur + hour,0.9869218351642743,251.10869606885024,109968780.12806976,2925.0583754754443
new 28,42167,|M|>10.0 union,raw,dist + dur + hour,0.9871035153360216,180.25191789341955,55231827.78217383,1833.2584719747053
new 28 (no hour),42167,|M|>10.0 union,raw,dist + dur,0.98709412785674,179.16331439954345,54554621.99392482,1778.93123849789
