value,count,proportion,median_fare,mean_fare,std_fare
N (not_stored),39636,0.9960545824642525,12.1,14.14349455040872,8.491622612903278
Y (stored),157,0.003945417535747493,12.1,13.640445859872612,7.099194459896267
