value,count,proportion,median_fare,mean_fare,std_fare
Manhattan,37917,0.9528560299550172,11.4,13.139248885724083,6.642237292257593
Queens,860,0.02161184127861684,39.4,38.31662790697675,13.514630205582113
Brooklyn,800,0.02010403839871334,30.3,31.758875,11.65257049896789
Unknown,110,0.0027643052798230843,12.1,14.435454545454546,9.243014583934853
Bronx,87,0.002186314175860076,39.4,39.63793103448276,14.652908603868653
Staten Island,5,0.00012565023999195837,109.4,90.92,29.469085496499552
