value,count,proportion,median_fare,mean_fare,std_fare
18,2980,0.0748875430352072,12.1,13.778187919463088,7.4686967238956585
17,2801,0.07038926444349508,12.1,14.020099964298465,7.895158063468168
16,2533,0.06365441157992612,12.1,14.171298855112513,8.622116557343844
15,2527,0.06350363129193577,12.1,14.575425405619312,9.09938144291041
19,2508,0.06302616037996632,11.4,13.409370015948962,7.5605432900220375
14,2426,0.06096549644409821,12.1,14.423948887056884,8.614153267940614
20,2303,0.05787450054029603,11.4,13.760247503256622,7.850873690607595
12,2272,0.05709546905234589,12.1,14.425176056338028,8.83520688146572
13,2265,0.05691955871635715,12.1,14.620618101545253,9.148546079978995
21,2228,0.055989746940416654,12.1,14.11108617594255,8.255384716474323
11,2071,0.05204432940466916,12.1,14.553307580878803,8.507019972533142
22,1930,0.04850099263689594,12.1,14.307849740932642,8.359200193671466
10,1911,0.04802352172492649,12.1,14.299686028257458,8.94548409898785
9,1749,0.043952453949187044,12.1,13.828702115494568,8.27621343961453
8,1560,0.039202874877491016,11.4,13.989551282051284,8.6587577487222
