pickup_location_id,pickup_hour,rides,revenue
132,16,3561,234390.0
132,15,3146,207707.0
132,22,3292,206844.0
132,17,3131,204340.0
132,19,3166,201417.0
132,21,3113,194968.0
132,23,3010,190747.0
132,20,3001,189016.0
132,18,2854,183148.0
132,14,2667,175750.0
