svd_1,svd_2,color_group
0.05757615324684416,0.005763012352694478,Powder Concentrates
0.07492455146864149,0.060285093251261676,other
0.034301675128428875,0.020522959516456895,other
0.0646292529377071,0.1650916418326463,other
0.1760968162392671,0.29907788717717154,other
0.18439399313742974,-0.09713926828737335,other
0.0989872558982412,0.09033434709958847,Other Non-Cola Carbonates
0.13292157451835807,0.27727692895141304,Functional Bottled Water
0.04809581754040174,0.034201897214256385,Other Non-Cola Carbonates
0.21870017818010135,0.5394507482362076,other
0.31922822820880564,-0.07085950281302236,Juice Drinks (up to 24% Juice)
0.14475865278371725,0.34152993328081954,other
0.39926444823268076,-0.1627150658144777,Juice Drinks (up to 24% Juice)
0.0911461511462697,0.22576435407635043,other
0.23635566906559222,0.4623509662535531,other
0.05272651770576266,0.07954318899319432,other
0.12000115798174851,0.027297697267380662,other
0.06909959857103772,0.055468397129537175,Other Non-Cola Carbonates
0.06911972419979708,-0.003923936983246325,other
0.18132716825294204,0.34276805842547164,other
0.026412534934057853,0.005925997256554775,other
0.08899861225005376,0.07428650515355642,Other Non-Cola Carbonates
0.020913533983196862,0.005973608058227135,Liquid Concentrates
0.05088692178853303,0.03179113821763808,other
0.1224072249876135,0.1219992384279198,Other Non-Cola Carbonates
0.07929598375116925,0.050270955595360135,RTD Coffee
0.059812794118871734,0.02965245399230205,Liquid Concentrates
0.1470783810405653,0.35534724835058806,other
0.08664605996225723,0.0746818604641024,Other Non-Cola Carbonates
0.12036953270314789,0.2879116339309133,other
0.0868544523525013,0.017116776599020972,Powder Concentrates
0.33870529401522625,-0.1433029239528481,Juice Drinks (up to 24% Juice)
0.1349374371919754,0.3089380231330319,Functional Bottled Water
0.08753897106149755,0.011667204494753877,Energy Drinks
0.0153889159998093,-0.0028123960207630905,other
0.10064126928343012,0.05911010766929166,Other Non-Cola Carbonates
0.12116117687504561,0.10047116606581812,Other Non-Cola Carbonates
0.06573185506965176,0.016196873891522624,Liquid Concentrates
0.04944876059121086,0.002861015387192974,Energy Drinks
0.07043063839625392,0.009219649782638825,other
0.03403974474761023,-0.003873625308251352,Powder Concentrates
0.27974440016163993,-0.07055657014489294,Juice Drinks (up to 24% Juice)
0.3372705367759979,-0.16956480840402796,Not from Concentrate 100% Juice
0.35973885275544687,-0.1659701349888793,Not from Concentrate 100% Juice
0.07221714530689531,0.02233427127148734,Powder Concentrates
0.15261671314300768,-0.0045246981944755725,Energy Drinks
0.06911374751258667,0.04876365111250739,other
0.0977473305655912,0.07421779087528056,Other Non-Cola Carbonates
0.09026599919753195,0.07030936412227974,other
0.039046296149791944,0.025455687648730494,other
0.08088980408189907,0.05815691483043494,Liquid Concentrates
0.02677328321036626,0.012915323892145477,other
0.05272651770576266,0.07954318899319432,other
0.16269038486932041,0.38770352610078174,other
0.0815538257373138,0.08062370075404712,other
0.08779738133179421,0.027094062642693612,RTD Coffee
0.5063212458712867,-0.2592735270414762,Not from Concentrate 100% Juice
0.08085323832986775,-0.0007095410204946801,Energy Drinks
0.06585921037052364,0.003079559440169813,Energy Drinks
0.0392302820478302,0.009841949574467929,Liquid Concentrates
0.03860457980823534,0.03193723697055853,other
0.05287800577499487,0.02612918670803801,other
0.13712192685884042,0.31143317415408817,other
0.05146584160771059,0.00867046375498013,Powder Concentrates
0.04382294619521534,0.023904866459352022,other
0.09321839537552755,0.10738449106172077,other
0.03008790473677138,0.016342379836507246,RTD Coffee
0.43371581777909013,-0.21241106725438427,Not from Concentrate 100% Juice
0.15830066813546176,0.38111100797691067,other
0.11628320051616829,0.032358901682456344,Energy Drinks
0.10008217713133333,0.0027877137436083457,Powder Concentrates
0.22354270385720848,-0.11047051308340866,Not from Concentrate 100% Juice
0.16704181303564197,0.3852702751753746,Functional Bottled Water
0.02893769551936506,0.007540689116699852,Liquid Concentrates
0.0999591243537426,0.03655325543767563,Energy Drinks
0.034688184418131235,0.010429481762647085,RTD Coffee
0.13885835315578113,0.2392922036667672,other
0.07535557870235038,0.06510866161949011,Other Non-Cola Carbonates
0.06574834055594986,0.053737436544924425,Other Non-Cola Carbonates
0.0908800737601097,0.06584031958385182,other
0.06993194184730583,0.05610737021175972,Other Non-Cola Carbonates
0.35462965459169743,-0.170387447359655,Not from Concentrate 100% Juice
0.04843591767122945,0.035378305030795636,other
0.06866243899184069,0.03553668348174042,other
0.22563343520486218,-0.10817420547954054,other
0.3015774650729791,-0.0965851357818294,other
0.3479246086343572,-0.18530902903320795,Not from Concentrate 100% Juice
0.04725752186148757,0.0017039349219872824,Liquid Concentrates
0.06653223905824837,0.010691022154593093,RTD Coffee
0.13327957620271547,0.014280837069100239,Energy Drinks
0.15151534967985864,0.3607727131552955,other
0.05776822896280653,0.10760341214835326,other
0.24649971650242208,-0.08571165645792936,other
0.2769639538877486,-0.15000320231903763,Not from Concentrate 100% Juice
0.2404875082631515,-0.09906843741045492,Juice Drinks (up to 24% Juice)
0.4013552621556323,-0.20625279191714577,other
0.15504752177234854,0.02849639352252251,Energy Drinks
0.09767207786314805,0.03712161950081775,Energy Drinks
0.08166780661039447,0.06629348148251292,Other Non-Cola Carbonates
0.07364089381182273,0.07576082840713753,Energy Drinks
0.14684110022341623,0.23729500514309942,Functional Bottled Water
0.05130081654468619,0.03988484648710188,other
0.04854391998298153,0.03435024490205125,other
0.024939916437208345,0.012778214696839891,RTD Coffee
0.15114338223314255,0.32411073499964876,other
0.08012861830100057,0.20760889504031996,other
0.12805758932062114,0.2935067509749707,Functional Bottled Water
0.06798006035300225,0.020957227952679885,other
0.040074563976620306,0.013552259821349798,RTD Coffee
0.13213215242682283,0.2958017871023792,Functional Bottled Water
0.3443909896743636,-0.1837956969672422,Not from Concentrate 100% Juice
0.22065851241526135,-0.08382362676144695,Juice Drinks (up to 24% Juice)
0.07427482202902193,0.06392329487418902,Other Non-Cola Carbonates
