population,n,mean,median,p10,p90,min,max
positive (same barcode),12038.0,0.6033,0.6264,0.2536,0.922,0.0,1.0
negative (cross barcode),10000.0,0.0156,0.0,0.0,0.0522,0.0,0.6321
