,count,unique,top,freq
product_id,71623,71623,6916,1
retailer,71623,280,amazon,15950
country,71623,19,USA,22905
price,70203,6897,2.99,1211
barcode,30078,14997,5000128652797,44
brand,71623,2265,Premier,343
category,71623,24,Not from Concentrate 100% Juice,10111
