value,count,proportion,median_fare,mean_fare,std_fare
1,33367,0.7794935289445405,12.1,15.882263913447417,11.720430467477858
2,5872,0.13717703125730038,12.8,16.541042234332426,12.267265918654369
3,1427,0.033336448161472694,12.8,16.101822004204628,11.414662185408947
4,754,0.017614353128066158,12.8,16.682493368700264,12.054566558651317
0,539,0.012591692753352333,11.4,14.774025974025975,11.419906669228808
5,501,0.011703966733635471,12.1,15.671257485029939,11.638447156539778
6,346,0.008082979021632481,12.8,15.684971098265896,10.790844461952958
