value,count,proportion,median_fare,mean_fare,std_fare
1 (credit card),35694,0.8338550670466757,12.8,15.993654395696757,11.512073959669554
2 (cash),6500,0.1518478717936738,12.1,16.01536923076923,12.869285755864992
4 (dispute),396,0.00925103957389151,10.0,15.132828282828282,13.972719644330024
3 (no charge),216,0.005046021585759006,8.6,13.42546296296296,16.44520569899759
