metric,without_borough,with_borough,delta
kurtosis,194.818474477533,200.77436208102364,5.9559
jb_stat,61103364.3396479,64970163.064204946,3866798.7246
bp_stat,1700.2097122816772,2017.5244148787485,317.3147
rsquared,0.985319397587985,0.9855884002340369,0.0003
