value,count,proportion,median_fare,mean_fare,std_fare
N (not_stored),42640,0.9961220389665,12.1,15.980423311444653,11.793116899373336
Y (stored),166,0.0038779610334999767,12.8,14.847289156626507,8.978381874905928
