value,count,proportion,median_fare,mean_fare,std_fare
day,19545,0.4565948698780545,12.1,16.06770017907393,11.916916593702467
overnight,11707,0.27348969770592907,12.1,16.1755274622021,11.94265951611909
peak,11554,0.26991543241601645,12.1,15.618815994460794,11.381069583437618
